M, log L/L_sun, log Teff, Q(H), Q(He0 ), Q(He+ )
1000. 7.444 5.026 1.607E+51 1.137E+51 2.829E+50
 500. 7.106 5.029 7.380E+50 5.223E+50 1.299E+50
 400. 6.984 5.028 5.573E+50 3.944E+50 9.808E+49
 300. 6.819 5.007 4.029E+50 2.717E+50 5.740E+49
 200. 6.574 4.999 2.292E+50 1.546E+50 3.265E+49
 120. 6.243 4.981 1.069E+50 7.213E+49 1.524E+49
  80. 5.947 4.970 5.938E+49 3.737E+49 3.826E+48
  60. 5.715 4.943 3.481E+49 2.190E+49 2.243E+48
  40. 5.420 4.900 1.873E+49 1.093E+49 1.442E+47
  25. 4.890 4.850 5.446E+48 2.966E+48 5.063E+44
  15. 4.324 4.759 1.398E+48 6.878E+47 2.037E+43
   9. 3.709 4.622 1.794E+47 4.303E+46 1.301E+41
   5. 2.870 4.440 1.097E+45 8.629E+41 7.605E+36
